Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,BWH,BWD,BWA,,,,,,,,,,,
D2,24/04/05,Saarbrucken,Greuther Furth,2,1,H,2.5,3.2,2.5,,,,,,,,,,,
D2,25/04/05,FC Koln,Unterhaching,1,0,H,1.35,4.4,7,,,,,,,,,,,
D2,27/04/05,Ahlen,Burghausen,1,3,A,1.85,3.4,3.6,,,,,,,,,,,
D2,29/04/05,Erfurt,Ein Frankfurt,0,3,A,3.05,3.3,2.1,,,,,,,,,,,
D2,29/04/05,Greuther Furth,Oberhausen,3,2,H,1.65,3.8,4.1,,,,,,,,,,,
D2,29/04/05,Unterhaching,Dresden,1,0,H,1.8,3.4,3.8,,,,,,,,,,,
D2,01/05/05,Aachen,Cottbus,4,0,H,1.65,3.35,4.8,,,,,,,,,,,
D2,01/05/05,Ahlen,Saarbrucken,2,3,A,1.95,3.2,3.5,,,,,,,,,,,
D2,01/05/05,Duisburg,Burghausen,4,3,H,1.5,3.8,5.5,,,,,,,,,,,
D2,01/05/05,Ein Trier,Karlsruhe,0,2,A,1.9,3.2,3.65,,,,,,,,,,,
D2,01/05/05,Munich 1860,Essen,0,0,D,1.45,3.95,5.9,,,,,,,,,,,
D2,02/05/05,Erzgebirge Aue,FC Koln,1,2,A,2.6,3.2,2.4,,,,,,,,,,,
D2,06/05/05,Dresden,Erzgebirge Aue,1,0,H,2.05,3.1,3.3,,,,,,,,,,,
D2,06/05/05,FC Koln,Ein Trier,1,2,A,1.6,3.7,4.6,,,,,,,,,,,
D2,06/05/05,Karlsruhe,Erfurt,2,0,H,1.7,3.4,4.35,,,,,,,,,,,
D2,08/05/05,Burghausen,Cottbus,0,0,D,1.95,3.25,3.45,,,,,,,,,,,
D2,08/05/05,Essen,Greuther Furth,0,2,A,2.1,3.3,3,,,,,,,,,,,
D2,08/05/05,Munich 1860,Aachen,3,0,H,2,3.4,3.15,,,,,,,,,,,
D2,08/05/05,Oberhausen,Ahlen,2,2,D,2.25,3.3,2.75,,,,,,,,,,,
D2,08/05/05,Saarbrucken,Unterhaching,0,1,A,2,3.1,3.45,,,,,,,,,,,
D2,09/05/05,Ein Frankfurt,Duisburg,0,1,A,1.85,3.3,3.7,,,,,,,,,,,
D2,15/05/05,Ahlen,Essen,3,1,H,1.95,3.4,3.25,,,,,,,,,,,
D2,15/05/05,Burghausen,Aachen,2,3,A,2.5,3.1,2.6,,,,,,,,,,,
D2,15/05/05,Cottbus,Ein Frankfurt,0,3,A,3.4,3.25,1.95,,,,,,,,,,,
D2,15/05/05,Duisburg,Karlsruhe,1,4,A,1.8,3.4,3.8,,,,,,,,,,,
D2,15/05/05,Ein Trier,Dresden,2,4,A,1.6,3.6,4.8,,,,,,,,,,,
D2,15/05/05,Erfurt,FC Koln,0,1,A,2.85,3.4,2.15,,,,,,,,,,,
D2,15/05/05,Erzgebirge Aue,Saarbrucken,2,0,H,1.85,3.05,4.1,,,,,,,,,,,
D2,15/05/05,Greuther Furth,Munich 1860,2,3,A,2.55,3.2,2.45,,,,,,,,,,,
D2,15/05/05,Unterhaching,Oberhausen,0,2,A,1.65,3.5,4.5,,,,,,,,,,,
D2,22/05/05,Aachen,Greuther Furth,0,1,A,1.7,3.4,4.35,,,,,,,,,,,
D2,22/05/05,Dresden,Erfurt,2,1,H,1.5,3.8,5.5,,,,,,,,,,,
D2,22/05/05,Ein Frankfurt,Burghausen,3,0,H,1.25,5.2,8.5,,,,,,,,,,,
D2,22/05/05,Essen,Unterhaching,0,1,A,2.1,3.3,3,,,,,,,,,,,
D2,22/05/05,FC Koln,Duisburg,4,0,H,1.9,3.35,3.5,,,,,,,,,,,
D2,22/05/05,Karlsruhe,Cottbus,3,2,H,2.7,2.7,2.7,,,,,,,,,,,
D2,22/05/05,Munich 1860,Ahlen,3,4,A,1.45,5.3,4.3,,,,,,,,,,,
D2,22/05/05,Oberhausen,Erzgebirge Aue,1,1,D,2.5,3.2,2.5,,,,,,,,,,,
D2,22/05/05,Saarbrucken,Ein Trier,1,1,D,2.6,2.75,2.75,,,,,,,,,,,
